2018-05-22 17:33:54 INFO  GlobalHooks:32 - -------------------------------------------------------------------------------------------------------------
2018-05-22 17:33:55 INFO  GlobalHooks:33 - Running scenario Login into gmail
2018-05-22 17:33:55 INFO  GlobalHooks:34 - Initiating driver object
2018-05-22 17:33:55 INFO  GlobalHooks:31 - Selected Browser ischrome
2018-05-22 17:33:55 INFO  GlobalHooks:49 - Got the path
2018-05-22 17:34:15 INFO  GlobalHooks:51 - Chrome driver has been returned
2018-05-22 17:34:16 INFO  GlobalHooks:49 - Got the path
2018-05-22 17:34:27 INFO  GlobalHooks:51 - Chrome driver has been returned
2018-05-22 17:34:51 INFO  GlobalHooks:45 - Login into gmail is failed
2018-05-22 17:34:51 INFO  GlobalHooks:46 -  Adding screenshot
2018-05-22 17:34:51 INFO  GlobalHooks:52 - Killing driver object
2018-05-22 17:34:51 INFO  GlobalHooks:53 - Completed scenario Login into gmail
2018-05-22 17:34:51 INFO  GlobalHooks:54 - -------------------------------------------------------------------------------------------------------------
